=== Whisper转录结果 ===
音频文件: ba84462e-fdee-42fe-9439-86808b3d3212.wav
使用模型: small
检测语言: zh
语言概率: 未知
转录时间: 232.20秒

转录文本:
你好,我是医生,您好,您可以自询了,我想问一下就是我们家老人有高血糖、高血压。现在这段牙疼我们再去医院看看了一下说是牙有一个牙坏了要拔但是他现在血糖血压还没控得下来就现在在家控制好的您可以请什么帮助这里在家控制时段时间的牙疼这种情况下他们能吃点什么药吗您当时去到医院里医生给您的所谓的控制的药里有涉及到止疼的或者是胶炎的药吗他没有给我们开任何药就说要回来把血糖血压降下来然后再去拔牙那您现在再做积极的血压血糖的调整吗是血压血糖都下来了当然所以要把那个R4P0也要停药一周我们还没到时间您现在确认您现在的牙疼是绝对的牙齿的问题而不是比如说心脏疾病胆囊疾病等等造成了一些牵扯痛是吧如果说造成这种牵扯痛的话他会有其他的感觉吗没有但是您需要除外心肛心脚痛或者其他的一些疾病造成的一些放射痛或者是牵扯到的一些疼痛就是您能确认口腔科说您的牙齿是确实有根本性的问题能够引起您当前的疼痛对吗对他看了说已经烂了一点您现在停了R4P0多少天了停了今天就停三天三天基本也可以了吧应该对 我我能建议您的是因为您当前能用的如果是确定是牙齿的疼痛那您只能用的就是止疼药但是其实止疼药物来说有一些风险那就是比如说他会造成一些因为有糖尿病尤其是高血压他会合并一些其他上气的诊汉只要能确认肝肾没有相应的功能不全没有消化到出血或者亏羊这些严重的胃肠疾病那您是可以试着用一些止疼药的比如说最常用的部落分这类的那个我们说R4P您先说我想起来了您可以去试着去药店看看有没有那叫牙痛听的就是局部用在你这颗坏牙的局部它可能会涉及到一些局部荣耀就是把一些就是它是一个酒精之际里边可能是有一些由于牙齿的取齿牙随的一些病病造成的这类问题它可以占取一部分各在牙齿局部能够起到一定的止疼效果可以问可以看看有没有这样的话牙痛可能风险会小一些只能是这样好了它叫牙痛听去医院问一下大爱夫如果说他停药三天也能接受或者说他就是这颗坏牙造成的您不对牙齿进行手术的处理的话您任何药只能是简单对症效果可以跑牙痛听三个字冷协牙痛听就是酒精的疆一个酒之旁一个钉送钉好我知道了我刚才打电话会这个医院他说光这个止疼不行还想消炎那这旁边更很压老人来说消炎药它能吃什么呢您好您想没想过像这类的处方用药您最好还是去医院让医生给您开吧原则上说我们变化机型是不能用一些开剧一些处方药的这个不合规我就是想问一下它能不能吃这个假消错分假消错什么也有叫假消错分不分的交囊的一个药没听过这个药为什么后面还有其他的字呀哦这个家里这个药就叫这个名后面它能吃假消错吗假消错会有一些未成道症状可能会对当时有一定的就是得看它基础问题基础情况不了解的话不确定哦想到我就还是去医院去看一眼是这个意思啊我觉得这样更安全既然您能打电话去到那它能接着您给您建议的话那您何不您要是方便就医而且年龄这么大合病的这些疾病这么多你就更应该谨慎了医院谨慎您个人也得谨慎因为这样的老人这时风险比较大而且让您看一下您局部的严重情况医生给您开药因为如果严重很重的话他也不愿意给您拔除风险也大对就让别人窍口一旦感染不愈合合病其他问题您风险更大所以没必要您因为您自己大家都觉得牙疼不是病或者是小病但是它主要是其他相关风险太多好的我还要问一个问题就是它这个如果是跟新放什么新风老人有关也会引起牙疼吗新稿很多或者有一部分人他表现的就不是单纯的心脏的局部或者肩背他就表现了牙疼有的人感觉的就是手头好的谢谢不客气您还有其他需要咨询吗没有了再见您没有其他咨询的话稍后对附近评价再见

详细时间戳:
[0.00s - 27.00s] 你好,我是医生,您好,您可以自询了,我想问一下就是我们家老人有高血糖、高血压。
[226.44s - 227.84s] 可以问
[227.84s - 229.20s] 可以看看有没有
[229.20s - 229.68s] 这样的话
[229.68s - 231.64s] 牙痛
[231.64s - 234.84s] 可能风险会小一些
[234.84s - 236.64s] 只能是这样
[236.64s - 237.16s] 好了
[237.16s - 239.20s] 它叫牙痛听
[242.56s - 245.36s] 去医院问一下大爱夫
[245.36s - 249.24s] 如果说他停药三天也能接受
[249.24s - 251.88s] 或者说他就是这颗坏牙造成的
[251.88s - 255.04s] 您不对牙齿进行手术的处理的话
[255.04s - 258.44s] 您任何药只能是简单对症
[258.44s - 259.72s] 效果可以跑
[262.56s - 264.52s] 牙痛听三个字冷协
[264.52s - 266.52s] 牙痛听就是酒精的疆
[268.52s - 270.92s] 一个酒之旁
[270.92s - 271.92s] 一个钉
[273.92s - 275.20s] 送钉
[275.20s - 275.48s] 好
[275.48s - 276.40s] 我知道了
[276.40s - 278.64s] 我刚才打电话会这个医院
[278.64s - 281.20s] 他说光这个止疼不行
[281.20s - 282.20s] 还想消炎
[282.20s - 284.48s] 那这旁边更很压老人来说
[284.48s - 287.28s] 消炎药它能吃什么呢
[287.28s - 287.64s] 您好
[287.64s - 289.08s] 您想没想过
[289.08s - 290.72s] 像这类的处方用药
[290.72s - 293.40s] 您最好还是去医院
[293.40s - 295.36s] 让医生给您开吧
[295.36s - 297.24s] 原则上说我们变化机型
[297.24s - 300.40s] 是不能用一些开剧一些处方药的
[300.40s - 302.56s] 这个不合规
[304.56s - 306.40s] 我就是想问一下
[306.48s - 309.40s] 它能不能吃这个假消错分
[313.08s - 314.92s] 假消错什么
[314.92s - 318.76s] 也有叫假消错分不分的交囊的一个药
[321.56s - 323.76s] 没听过这个药
[323.76s - 325.80s] 为什么后面还有其他的
[325.80s - 327.20s] 字呀
[327.20s - 328.04s] 哦
[328.04s - 329.68s] 这个家里这个药就叫这个名
[329.68s - 331.24s] 后面它能吃假消错吗
[332.84s - 335.40s] 假消错会有一些未成道症状
[335.40s - 338.76s] 可能会对当时有一定的
[338.76s - 340.24s] 就是
[340.24s - 341.88s] 得看它基础问题
[341.88s - 343.64s] 基础情况不了解的话
[343.64s - 344.96s] 不确定
[344.96s - 347.24s] 哦
[347.24s - 350.56s] 想到我就还是去医院去看一眼
[350.56s - 353.40s] 是这个意思啊
[353.40s - 354.96s] 我觉得这样更安全
[354.96s - 357.08s] 既然您能打电话去到那
[357.08s - 360.08s] 它能接着您给您建议的话
[360.08s - 361.36s] 那您何不
[361.36s - 362.92s] 您要是方便就医
[362.92s - 364.08s] 而且年龄这么大
[364.08s - 367.40s] 合病的这些疾病这么多
[367.40s - 368.92s] 你就更应该谨慎了
[368.92s - 369.80s] 医院谨慎
[369.80s - 371.36s] 您个人也得谨慎
[371.36s - 372.40s] 因为这样的老人
[372.40s - 373.76s] 这时风险比较大
[376.76s - 378.04s] 而且让您看一下
[378.04s - 379.64s] 您局部的严重情况
[379.64s - 380.64s] 医生给您开药
[380.64s - 382.52s] 因为如果严重很重的话
[382.52s - 384.20s] 他也不愿意给您拔除
[384.20s - 385.80s] 风险也大
[385.80s - 386.24s] 对
[386.24s - 388.96s] 就让别人窍口一旦感染不愈合
[388.96s - 390.08s] 合病其他问题
[390.08s - 391.60s] 您风险更大
[391.60s - 393.00s] 所以没必要
[393.00s - 394.72s] 您因为
[394.72s - 396.20s] 您自己大家都觉得
[396.20s - 398.44s] 牙疼不是病或者是小病
[398.44s - 401.36s] 但是它主要是其他相关风险太多
[403.36s - 404.56s] 好的
[404.56s - 405.92s] 我还要问一个问题
[405.92s - 408.20s] 就是它这个如果是跟新放
[408.20s - 409.68s] 什么新风老人有关
[409.68s - 412.28s] 也会引起牙疼吗
[412.28s - 413.40s] 新稿
[413.40s - 415.32s] 很多或者有一部分人
[415.32s - 417.84s] 他表现的就不是单纯的心脏的
[417.84s - 419.48s] 局部或者肩背
[419.48s - 420.80s] 他就表现了牙疼
[420.84s - 423.00s] 有的人感觉的就是手头
[427.00s - 427.72s] 好的
[427.72s - 428.52s] 谢谢
[429.96s - 430.44s] 不客气
[430.44s - 432.56s] 您还有其他需要咨询吗
[432.56s - 433.28s] 没有了
[433.28s - 434.60s] 再见
[434.60s - 436.00s] 您没有其他咨询的话
[436.00s - 437.32s] 稍后对附近评价
[437.32s - 437.96s] 再见
